,snapshot,component_charge,fieldtype_charge,field_charge,value_charge,mode_charge,component_discharge,fieldtype_discharge,field_discharge,value_discharge,mode_discharge
149,t150,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
150,t151,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
151,t152,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
152,t153,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
153,t154,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
154,t155,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
155,t156,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
156,t157,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
157,t158,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
158,t159,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
159,t160,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
160,t161,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
161,t162,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,1.2146054680463045,primal
162,t163,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.9417853463724484,primal
163,t164,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.843609185581247,primal
164,t165,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
165,t166,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
166,t167,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
167,t168,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
168,t169,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
169,t170,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
170,t171,battery.charging,exp,in_electricity,4.233805168766388,primal,battery.discharging,exp,in_electricity,0.0,primal
