,snapshot,component_buy,fieldtype_buy,field_buy,value_buy,mode_buy,component_sell,fieldtype_sell,field_sell,value_sell,mode_sell
216,t217,buy_electricity,exp,value,3.5193571950328706,primal,sell_electricity,exp,value,0.0,primal
217,t218,buy_electricity,exp,value,8.389943998052107,primal,sell_electricity,exp,value,0.0,primal
218,t219,buy_electricity,exp,value,8.3172632091551,primal,sell_electricity,exp,value,0.0,primal
219,t220,buy_electricity,exp,value,8.273313854394935,primal,sell_electricity,exp,value,0.0,primal
220,t221,buy_electricity,exp,value,6.816770308314366,primal,sell_electricity,exp,value,0.0,primal
221,t222,buy_electricity,exp,value,3.6831020209398586,primal,sell_electricity,exp,value,0.0,primal
222,t223,buy_electricity,exp,value,4.2741660579498415,primal,sell_electricity,exp,value,0.0,primal
223,t224,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
224,t225,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.17589107679414448,primal
225,t226,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.49689769673970907,primal
226,t227,buy_electricity,exp,value,4.091953317086436,primal,sell_electricity,exp,value,0.0,primal
227,t228,buy_electricity,exp,value,8.751243513146262,primal,sell_electricity,exp,value,0.0,primal
228,t229,buy_electricity,exp,value,8.511153502129323,primal,sell_electricity,exp,value,0.0,primal
229,t230,buy_electricity,exp,value,8.534272997649653,primal,sell_electricity,exp,value,0.0,primal
230,t231,buy_electricity,exp,value,4.263807970056257,primal,sell_electricity,exp,value,0.0,primal
231,t232,buy_electricity,exp,value,4.191306651006668,primal,sell_electricity,exp,value,0.0,primal
232,t233,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
233,t234,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.18858047236425612,primal
234,t235,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
235,t236,buy_electricity,exp,value,1.4199738813847573,primal,sell_electricity,exp,value,0.0,primal
236,t237,buy_electricity,exp,value,4.308862916971025,primal,sell_electricity,exp,value,0.0,primal
237,t238,buy_electricity,exp,value,4.022400779157536,primal,sell_electricity,exp,value,0.0,primal
238,t239,buy_electricity,exp,value,3.9256148039931826,primal,sell_electricity,exp,value,0.0,primal
239,t240,buy_electricity,exp,value,3.6783540297053814,primal,sell_electricity,exp,value,0.0,primal
240,t241,buy_electricity,exp,value,3.5294618943267593,primal,sell_electricity,exp,value,0.0,primal
241,t242,buy_electricity,exp,value,6.869363441988584,primal,sell_electricity,exp,value,0.0,primal
242,t243,buy_electricity,exp,value,8.350012174336499,primal,sell_electricity,exp,value,0.0,primal
243,t244,buy_electricity,exp,value,8.31981981981982,primal,sell_electricity,exp,value,0.0,primal
244,t245,buy_electricity,exp,value,8.406866325785245,primal,sell_electricity,exp,value,0.0,primal
245,t246,buy_electricity,exp,value,3.748965181397614,primal,sell_electricity,exp,value,0.0,primal
246,t247,buy_electricity,exp,value,4.36109082055028,primal,sell_electricity,exp,value,0.0,primal
247,t248,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
248,t249,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.1565824092464272,primal
249,t250,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.5134593923351409,primal
250,t251,buy_electricity,exp,value,1.361106410386006,primal,sell_electricity,exp,value,0.0,primal
251,t252,buy_electricity,exp,value,7.186865481343701,primal,sell_electricity,exp,value,0.0,primal
252,t253,buy_electricity,exp,value,8.471412889005489,primal,sell_electricity,exp,value,0.0,primal
253,t254,buy_electricity,exp,value,8.490334537412407,primal,sell_electricity,exp,value,0.0,primal
254,t255,buy_electricity,exp,value,8.72283832896996,primal,sell_electricity,exp,value,0.0,primal
255,t256,buy_electricity,exp,value,4.190630165563362,primal,sell_electricity,exp,value,0.0,primal
256,t257,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
