,snapshot,component_pv,fieldtype_pv,field_pv,value_pv,mode_pv,component_load,fieldtype_load,field_load,value_load,mode_load
256,t257,pv,exp,value,0.04811161895597786,primal,load,exp,value,4.67336255174093,primal
257,t258,pv,exp,value,0.0,primal,load,exp,value,4.821889457024592,primal
258,t259,pv,exp,value,0.0,primal,load,exp,value,4.7683223764304845,primal
259,t260,pv,exp,value,0.0,primal,load,exp,value,4.559532505478451,primal
260,t261,pv,exp,value,0.0,primal,load,exp,value,4.266252739225712,primal
261,t262,pv,exp,value,0.0,primal,load,exp,value,3.947406866325785,primal
262,t263,pv,exp,value,0.0,primal,load,exp,value,3.825663501339177,primal
263,t264,pv,exp,value,0.0,primal,load,exp,value,3.584611638665693,primal
264,t265,pv,exp,value,0.0,primal,load,exp,value,3.4439980521061604,primal
265,t266,pv,exp,value,0.0,primal,load,exp,value,3.2901144387630876,primal
266,t267,pv,exp,value,0.0,primal,load,exp,value,3.240443145848551,primal
267,t268,pv,exp,value,0.0,primal,load,exp,value,3.201972242512783,primal
268,t269,pv,exp,value,0.0,primal,load,exp,value,3.2862186510835163,primal
269,t270,pv,exp,value,0.0,primal,load,exp,value,3.582663744825907,primal
270,t271,pv,exp,value,0.0,primal,load,exp,value,4.102020939858778,primal
271,t272,pv,exp,value,0.010825114265095019,primal,load,exp,value,4.595690284879474,primal
272,t273,pv,exp,value,0.12148183786384412,primal,load,exp,value,4.826637448259071,primal
273,t274,pv,exp,value,0.32114505653115233,primal,load,exp,value,4.845507669831994,primal
274,t275,pv,exp,value,0.5821505893673322,primal,load,exp,value,4.823837350864378,primal
275,t276,pv,exp,value,0.7998556651431321,primal,load,exp,value,4.730947163379596,primal
276,t277,pv,exp,value,0.8900649506855906,primal,load,exp,value,4.553080107134162,primal
277,t278,pv,exp,value,0.8299254269906182,primal,load,exp,value,4.425858290723156,primal
278,t279,pv,exp,value,0.6230454654799135,primal,load,exp,value,4.371073776479182,primal
279,t280,pv,exp,value,0.317536685109454,primal,load,exp,value,4.408327246165084,primal
280,t281,pv,exp,value,0.05051719990377676,primal,load,exp,value,4.514487460433406,primal
281,t282,pv,exp,value,0.0,primal,load,exp,value,4.634769905040176,primal
282,t283,pv,exp,value,0.0,primal,load,exp,value,4.560871682493304,primal
283,t284,pv,exp,value,0.0,primal,load,exp,value,4.351594838081325,primal
284,t285,pv,exp,value,0.0,primal,load,exp,value,4.089968346725104,primal
285,t286,pv,exp,value,0.0,primal,load,exp,value,3.77708789870952,primal
286,t287,pv,exp,value,0.0,primal,load,exp,value,3.7220598977355737,primal
287,t288,pv,exp,value,0.0,primal,load,exp,value,3.5405405405405403,primal
288,t289,pv,exp,value,0.0,primal,load,exp,value,3.400900900900901,primal
289,t290,pv,exp,value,0.0,primal,load,exp,value,3.262356951546141,primal
290,t291,pv,exp,value,0.0,primal,load,exp,value,3.1963720477233992,primal
291,t292,pv,exp,value,0.0,primal,load,exp,value,3.122108595081568,primal
292,t293,pv,exp,value,0.0,primal,load,exp,value,3.1232042853664477,primal
293,t294,pv,exp,value,0.0,primal,load,exp,value,3.255782809836864,primal
294,t295,pv,exp,value,0.0,primal,load,exp,value,3.454224494765035,primal
295,t296,pv,exp,value,0.013230695212893915,primal,load,exp,value,3.7141465790114436,primal
296,t297,pv,exp,value,0.14433485686793363,primal,load,exp,value,3.946554662770879,primal
297,t298,pv,exp,value,0.39331248496511906,primal,load,exp,value,4.07755052349647,primal
298,t299,pv,exp,value,0.7192687033918692,primal,load,exp,value,4.049671292914536,primal
299,t300,pv,exp,value,0.9814770267019485,primal,load,exp,value,3.986973459946433,primal
300,t301,pv,exp,value,1.0801058455617032,primal,load,exp,value,3.848429510591673,primal
301,t302,pv,exp,value,0.9850853981236468,primal,load,exp,value,3.7258339420501585,primal
302,t303,pv,exp,value,0.7337021890786626,primal,load,exp,value,3.6996591185780376,primal
303,t304,pv,exp,value,0.3668510945393313,primal,load,exp,value,3.8156805454102747,primal
304,t305,pv,exp,value,0.057733942747173445,primal,load,exp,value,3.997321645970295,primal
305,t306,pv,exp,value,0.0,primal,load,exp,value,4.1751887022157295,primal
306,t307,pv,exp,value,0.0,primal,load,exp,value,4.126613099586073,primal
307,t308,pv,exp,value,0.0,primal,load,exp,value,3.948867786705624,primal
308,t309,pv,exp,value,0.0,primal,load,exp,value,3.7427562697832966,primal
309,t310,pv,exp,value,0.0,primal,load,exp,value,3.545775505234965,primal
310,t311,pv,exp,value,0.0,primal,load,exp,value,3.524713903092281,primal
311,t312,pv,exp,value,0.0,primal,load,exp,value,3.333333333333333,primal
312,t313,pv,exp,value,0.0,primal,load,exp,value,3.201972242512783,primal
313,t314,pv,exp,value,0.0,primal,load,exp,value,3.0668371073776477,primal
314,t315,pv,exp,value,0.0,primal,load,exp,value,3.0237399561723888,primal
315,t316,pv,exp,value,0.0,primal,load,exp,value,2.9393718042366688,primal
316,t317,pv,exp,value,0.0,primal,load,exp,value,2.954711468224982,primal
317,t318,pv,exp,value,0.0,primal,load,exp,value,3.0350620891161433,primal
318,t319,pv,exp,value,0.0,primal,load,exp,value,3.1344046749452152,primal
319,t320,pv,exp,value,0.014433485686793361,primal,load,exp,value,3.344898953007061,primal
320,t321,pv,exp,value,0.13230695212893914,primal,load,exp,value,3.539444850255661,primal
321,t322,pv,exp,value,0.35722877074813564,primal,load,exp,value,3.6958850742634524,primal
322,t323,pv,exp,value,0.6615347606446957,primal,load,exp,value,3.777574872169467,primal
323,t324,pv,exp,value,0.9309598267981718,primal,load,exp,value,3.7718529340150964,primal
324,t325,pv,exp,value,1.0548472456098148,primal,load,exp,value,3.6437789140491845,primal
325,t326,pv,exp,value,0.9754630743324513,primal,load,exp,value,3.516191867543219,primal
326,t327,pv,exp,value,0.7300938176569642,primal,load,exp,value,3.4749208668127585,primal
327,t328,pv,exp,value,0.3668510945393313,primal,load,exp,value,3.550036523009496,primal
328,t329,pv,exp,value,0.05893673322107289,primal,load,exp,value,3.70891161431702,primal
329,t330,pv,exp,value,0.0,primal,load,exp,value,3.9118578037496956,primal
330,t331,pv,exp,value,0.0,primal,load,exp,value,3.947406866325785,primal
331,t332,pv,exp,value,0.0,primal,load,exp,value,3.8569515461407358,primal
332,t333,pv,exp,value,0.0,primal,load,exp,value,3.6894326759191625,primal
333,t334,pv,exp,value,0.0,primal,load,exp,value,3.503774044314585,primal
334,t335,pv,exp,value,0.0,primal,load,exp,value,3.5176527879230584,primal
335,t336,pv,exp,value,0.0,primal,load,exp,value,3.349159970781592,primal
336,t337,pv,exp,value,0.0,primal,load,exp,value,3.2286340394448505,primal
337,t338,pv,exp,value,0.0,primal,load,exp,value,3.113708302897492,primal
338,t339,pv,exp,value,0.0,primal,load,exp,value,3.060141222303385,primal
339,t340,pv,exp,value,0.0,primal,load,exp,value,3.0211833455076698,primal
